drug,food,interaction
atorvastatin,grapefruit,"Grapefruit increases the blood levels of atorvastatin, which may increase the risk of side effects."
lisinopril,banana,High potassium foods like bananas can increase potassium levels dangerously when taking lisinopril.
metformin,alcohol,Alcohol can increase the risk of lactic acidosis in patients taking metformin.
warfarin,vitamin K,Vitamin K-rich foods like spinach can decrease the effectiveness of warfarin.
levothyroxine,calcium supplements,Calcium supplements can interfere with the absorption of levothyroxine.
simvastatin,grapefruit,"Grapefruit can increase simvastatin levels, leading to a higher risk of muscle damage."
digoxin,high-fiber foods,High-fiber foods may reduce the absorption of digoxin.
phenelzine,cheese,"Cheese contains tyramine, which can cause hypertensive crisis with phenelzine."
metformin,apple,Apple may reduce the absorption of metformin; consume in moderation.
lisinopril,licorice,Licorice may reduce the effectiveness of lisinopril and increase blood pressure.
atorvastatin,pomegranate,"Pomegranate may increase atorvastatin levels, potentially raising the risk of muscle damage."
simvastatin,pomegranate,"Pomegranate can inhibit enzymes that break down simvastatin, increasing drug levels."
rosuvastatin,grapefruit,"Grapefruit may increase rosuvastatin absorption, leading to higher drug levels."
pravastatin,alcohol,Alcohol can increase the risk of liver problems when combined with pravastatin.
enalapril,potassium supplements,Potassium supplements can cause dangerously high potassium levels when taken with enalapril.
ramipril,salt substitutes,Salt substitutes containing potassium can increase potassium levels dangerously with ramipril.
quinapril,banana,Bananas are high in potassium and can cause hyperkalemia when taken with quinapril.
benazepril,avocado,Avocados are potassium-rich and can increase potassium levels when taking benazepril.
losartan,potassium supplements,Potassium supplements can cause dangerously high potassium levels with losartan.
valsartan,salt substitutes,Salt substitutes with potassium can increase potassium levels with valsartan.
irbesartan,banana,Bananas can increase potassium levels when taking irbesartan.
candesartan,avocado,Avocados may increase potassium levels when combined with candesartan.
metoprolol,grapefruit,"Grapefruit may increase metoprolol levels, potentially causing more side effects."
atenolol,alcohol,Alcohol can increase the sedative effects of atenolol.
propranolol,caffeine,Caffeine may reduce the effectiveness of propranolol.
carvedilol,grapefruit,Grapefruit can increase carvedilol levels and side effects.
amlodipine,grapefruit,"Grapefruit can increase amlodipine levels, potentially causing more side effects."
diltiazem,grapefruit,Grapefruit may increase diltiazem absorption and effects.
verapamil,grapefruit,Grapefruit can significantly increase verapamil levels.
nifedipine,grapefruit,Grapefruit may increase nifedipine levels and side effects.
furosemide,licorice,Licorice can reduce the effectiveness of furosemide.
